titel,prijs,locatie,heeft_tuin,heeft_terras,heeft_zonnepanelen,afstand_centrum,buurtveiligheid,staat_pand,bouwjaar,slaapkamers,oppervlakte_slaapkamer_1,oppervlakte_slaapkamer_2,oppervlakte_slaapkamer_3,oppervlakte_slaapkamer_4,oppervlakte_slaapkamer_5,oppervlakte_slaapkamer_6,oppervlakte,bewoonbare_opp,oppervlakte_woonruimte,zolder,oppervlakte_zolder,kelder,oppervlakte_kelder,garage,aantal_garages,aantal_parkeerplaatsen,bemeubeld,oppervlakte_keuken,keukenuitrusting,badkamers,aantal_douchecabines,aantal_baden,aantal_toiletten,type_verwarming,type_glas,lift,toegang_mindervaliden,aantal_gevels,breedte_voorgevel,aantal_verdiepingen,terras,oppervlakte_terras,totale_opp,diepte_perceel,breedte_voorkant_terras,aansluiting_riolering,aansluiting_waterleiding,aansluiting_gasleiding,zwembad,tuin
Grond te koop,175000,9681 Nukerke,0,0,0,5.0,7,None,None,2,None,None,None,None,None,None,1004.0,80.0,None,None,None,None,None,None,2,2,None,None,None,2,None,None,2,None,None,None,None,2,None,None,None,None,None,None,None,None,None,None,None,None
Huis gemengd gebruik te koop,350000,7860 Lessines,0,0,0,5.0,7,Uitstekend,None,5,None,None,None,None,None,None,464.0,80.0,None,None,None,None,None,None,2,2,None,None,None,1,None,None,2,None,None,None,None,2,None,None,None,None,None,None,None,None,None,None,None,None
Bouwgrond te koop,145000,3580 Beringen,0,0,0,5.0,7,None,None,2,None,None,None,None,None,None,751.0,80.0,None,None,None,None,None,None,2,2,None,None,None,2,None,None,2,None,None,None,None,2,None,None,None,None,None,None,None,None,None,None,None,None
Bouwgrond te koop,145000,3580 Beringen,0,0,0,5.0,7,None,None,2,None,None,None,None,None,None,753.0,80.0,None,None,None,None,None,None,2,2,None,None,None,2,None,None,2,None,None,None,None,2,None,None,None,None,None,None,None,None,None,None,None,None
Bouwgrond te koop,192500,3580 Beringen,0,0,0,5.0,7,None,None,2,None,None,None,None,None,None,960.0,80.0,None,None,None,None,None,None,2,2,None,None,None,2,None,None,2,None,None,None,None,2,None,None,None,None,None,None,None,None,None,None,None,None
Appartement te koop,245000,8500 Kortrijk,0,0,0,5.0,7,Normaal,1965,2,None,None,None,None,None,None,88.0,80.0,None,None,None,None,None,None,2,2,None,None,None,1,None,None,2,None,None,None,None,2,None,None,None,None,None,None,None,None,None,None,None,None
Huis te koop,165000,8600 Diksmuide,0,0,0,5.0,7,Te renoveren,None,3,None,None,None,None,None,None,154.0,80.0,None,None,None,None,None,None,2,2,None,None,None,1,None,None,2,None,None,None,None,2,None,None,None,None,None,None,None,None,None,None,None,None
Opbrengsteigendom te koop,425000,8370 Blankenberge,0,0,0,5.0,7,None,1966,2,None,None,None,None,None,None,97.0,80.0,None,None,None,None,None,None,2,2,None,None,None,2,None,None,2,None,None,None,None,2,None,None,None,None,None,None,None,None,None,None,None,None
Appartement te koop,680000,1040 Etterbeek,0,0,0,5.0,7,Uitstekend,2018,2,None,None,None,None,None,None,3.0,80.0,None,None,None,None,None,None,2,2,None,None,None,2,None,None,2,None,None,None,None,2,None,None,None,None,None,None,None,None,None,None,None,None
Appartement te koop,350000,1200 Sint-Lambrechts-Woluwe,0,0,0,5.0,7,Te renoveren,1958,2,None,None,None,None,None,None,8.0,80.0,None,None,None,None,None,None,2,2,None,None,None,2,None,None,2,None,None,None,None,2,None,None,None,None,None,None,None,None,None,None,None,None
Huis te koop,409000,1070 Anderlecht,0,0,0,5.0,7,Te renoveren,1930,6,None,None,None,None,None,None,227.0,80.0,None,None,None,None,None,None,2,2,None,None,None,1,None,None,2,None,None,None,None,2,None,None,None,None,None,None,None,None,None,None,None,None
Opbrengsteigendom te koop,129000,8810 Lichtervelde,0,0,0,5.0,7,None,1933,2,None,None,None,None,None,None,80.0,80.0,None,None,None,None,None,None,2,2,None,None,None,2,None,None,2,None,None,None,None,2,None,None,None,None,None,None,None,None,None,None,None,None
Appartement te koop,795000,1000 Brussel,0,0,0,5.0,7,Normaal,1970,3,None,None,None,None,None,None,39.0,80.0,None,None,None,None,None,None,2,2,None,None,None,2,None,None,2,None,None,None,None,2,None,None,None,None,None,None,None,None,None,None,None,None
Huis te koop,459000,8620 Nieuwpoort,0,0,0,5.0,7,None,2019,4,None,None,None,None,None,None,200.0,80.0,None,None,None,None,None,None,2,2,None,None,None,1,None,None,2,None,None,None,None,2,None,None,None,None,None,None,None,None,None,None,None,None
Huis te koop,215000,8370 Blankenberge,0,0,0,5.0,7,None,1918,5,None,None,None,None,None,None,171.0,80.0,None,None,None,None,None,None,2,2,None,None,None,1,None,None,2,None,None,None,None,2,None,None,None,None,None,None,None,None,None,None,None,None
Villa te koop,1450000,2240 Zandhoven,0,0,0,5.0,7,Uitstekend,2003,5,None,None,None,None,None,None,345.0,80.0,None,None,None,None,None,None,2,2,None,None,None,2,None,None,2,None,None,None,None,2,None,None,None,None,None,None,None,None,None,None,None,None
